ID,NAME,LAT,LONG
1,Loughshinny,53.54553097,-6.079579238
2,Portmarnock,53.43469554,-6.121395995
3,Balbriggan,53.61097332,-6.180813965
4,Barnageeragh,53.58856694,-6.151651489
5,Skerries North,53.58187497,-6.116099067
6,Skerries South,53.58362021,-6.099773183
7,Rush North,53.53274427,-6.083662004
8,Rush South,53.50990441,-6.114873784
9,Portrane,53.50644139,-6.106379664
10,Portrane Tower Bay,53.48950064,-6.096830056
11,Donabate,53.45240816,-6.135037632
12,Malahide,53.45170546,-6.147460659
13,Sutton,53.39659703,-6.107531931
14,Claremount - Howth,53.39581972,-6.088708627
15,Blackrock,53.61661619,-6.185679224
